sCustomerFirstname,sCustomerLastname,sCustomerEmail,sCustomerPhone,sCustomerAddress1,sCustomerAddress2,sCustomerAddress3,sCustomerCity,sCustomerState,sCustomerZip,"sCustomerCountry(Non Us)"
Text,php.zaptech@gmail.com,9745228050,xyz,Ahmedabad,Gujarat,394120,"The CSV file you uploaded is invalid. Please make sure you are using our template."
abc,,7852149621,test,Ahmedabad,Gujarat,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
xyz,xyz.abc@yahoo.com,5621354712,test1,,,745213,"The CSV file you uploaded is invalid. Please make sure you are using our template."
pqr,pqr@outlook.com,7854129632,test2,Baroda,Gujarat,965421,"The CSV file you uploaded is invalid. Please make sure you are using our template."
ade,xyz@yahoo.com,8542416396,,Pune,Maharastra,874521,"The CSV file you uploaded is invalid. Please make sure you are using our template."
,t.t@gmail.com,,test4,Delhi,Delhi,854124,"The CSV file you uploaded is invalid. Please make sure you are using our template."
s,s.s@yahoo.com,7541263410,test5,Ahmedabad,,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
a,,3214569874,test6,SURAT,Gujarat,741258,"The CSV file you uploaded is invalid. Please make sure you are using our template."
m,mn@gmail.com,4512748512,test7,Rajkot,Gujarat,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
lm,km@yahoo.com,,test8,Rajkot,Gujarat,741257,"The CSV file you uploaded is invalid. Please make sure you are using our template."
op,op@gmail.com,7412857412,,SURAT,Gujarat,741289,"The CSV file you uploaded is invalid. Please make sure you are using our template."
jk,,8512369711,test10,Pune,Maharastra,963214,"The CSV file you uploaded is invalid. Please make sure you are using our template."
gh,g123@gmail.com,6325412578,test11,Rajkot,Gujarat,741963,"The CSV file you uploaded is invalid. Please make sure you are using our template."
,test@yahoo.com,9856321474,test12,Baroda,,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
janak,janak@gmail.com,9632584171,test13,,Gujarat,741258,"The CSV file you uploaded is invalid. Please make sure you are using our template."
"dimple ",dshah@yahoo.com,,test14,Gandhinagar,Gujarat,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
Aakash,,8512637456,test15,Ahmedabad,Gujarat,380009,"The CSV file you uploaded is invalid. Please make sure you are using our template."
Twinkle,ty@gmail.com,8521364157,test16,SURAT,,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test,test@gmail.com,9658214731,,,Gujarat,365214,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test1,t.test@yahoo.com,7412563242,test18,Pune,Maharastra,741251,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test2,t.test2@yahoo.com,,abc1,Baroda,Gujarat,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test3,t.test3@yahoo.com,9652143981,abc2,Newyork,Newyork,854124,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test4,t.test4,9645218732,,Mumbai,Maharastra,321452,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test5,t.test5@yahoo.com,9724103296,abc4,Newyork,Newyork,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
,t.test6@yahoo.com,,abc5,Delhi,Delhi,785412,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test7,,6352789541,abc6,Gandhinagar,Gujarat,965413,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test8,t.test8@yahoo.com,5014523697,abc7,Mumbai,,254135,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test9,,8852136954,abc8,Newyork,Newyork,124563,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test10,t.test10@yahoo.com,8000214562,abc9,,,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test11,,,abc10,Delhi,Delhi,562413,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test12,t.test12@yahoo.com,8000542671,,Delhi,Delhi,985412,"The CSV file you uploaded is invalid. Please make sure you are using our template."
,t.test13@yahoo.com,6982800001,abc12,Rajkot,Gujarat,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test14,t.test14@yahoo.com,,abc13,Pune,,965234,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test15,t.test15@yahoo.com,9000154726,abc14,SURAT,Gujarat,125789,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test16,t.test16@yahoo.com,,abc15,SURAT,Gujarat,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test17,t.test17@yahoo.com,7854296321,abc16,SURAT,Gujarat,895741,"The CSV file you uploaded is invalid. Please make sure you are using our template."
,t.test18@yahoo.com,7854296322,,SURAT,Gujarat,895742,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test19,,7854296323,abc18,SURAT,,,"The CSV file you uploaded is invalid. Please make sure you are using our template."
