sCustomerFirstname,sCustomerLastname,sCustomerEmail,sCustomerPhone,sCustomerAddress1,sCustomerAddress2,sCustomerAddress3,sCustomerCity,sCustomerState,sCustomerZip,"sCustomerCountry(Non Us)"
asd,"asdasd can not be empty 
"
a,"asdasd can not be empty 
"
sd,"asdasd can not be empty 
"
asd,"asdasd can not be empty 
"
AS,"asdasd can not be empty 
"
AS,"asdasd can not be empty 
"
A,"asdasd can not be empty 
"
S,"asdasd can not be empty 
"
AS,"asdasd can not be empty 
"
ASASAS,"asdasd can not be empty 
"
46564,"asdasd can not be empty 
"
2234234@##$$,"asdasd can not be empty 
"
$%%#(%(())),"asdasd can not be empty 
"
asd,"asdasd can not be empty 
"
asd,"asdasd can not be empty 
"
