sCustomerFirstname,sCustomerLastname,sCustomerEmail,sCustomerPhone,sCustomerAddress1,sCustomerAddress2,sCustomerAddress3,sCustomerCity,sCustomerState,sCustomerZip,sCustomerCountry(Non Us)
Shaily,Gajjar,shaily.gajjar@gmail.com,9724229059,xyz,xyz,xyz,Ahmedabad,Gujarat,394120,India
abc,xyz,abc.xyz@gmail.com,7852149621,test,test,test,Ahmedabad,Gujarat,380001,India
xyz,abc,xyz.abc@yahoo.com,5621354712,test1,test1,test1,SURAT,Gujarat,745213,India
pqr,xyz,pqr@outlook.com,7854129632,test2,test2,test2,Baroda,Gujarat,965421,India
ade,mno,xyz@yahoo.com,8542416396,test3,test3,test3,Pune,Maharastra,874521,India
t,t,t.t@gmail.com,7845128521,test,test1,test2,Delhi,Delhi,854124,India
s,s,s.s@yahoo.com,7541263410,test,t,t,Ahmedabad,Gujarat,380012,India
a,abc,a.abc@hotmail.com,3214569874,a,a,a,SURAT,Gujarat,741258,India
m,n,mn@gmail.com,4512748512,m,m,m,Rajkot,Gujarat,451257,India
lm,km,km@yahoo.com,1236547890,km,km,km,Rajkot,Gujarat,741257,India
op,op,op@gmail.com,7412857412,op,op,op,SURAT,Gujarat,741289,India
jk,lm,jk@yahoo.com,8512369711,jk,jk,jk,Pune,Maharastra,963214,India
gh,ij,g123@gmail.com,6325412578,gi,gi,gi,Rajkot,Gujarat,741963,India
hetal,patel,test@yahoo.com,9856321474,pq,pq,pq,Baroda,Gujarat,325416,India
janak,patel,janak@gmail.com,9632584171,r,r,r,Gandhinagar,Gujarat,741258,India
dimple ,shah,dshah@yahoo.com,9856321474,tr,tr,tr,Gandhinagar,Gujarat,524136,India
Aakash,Gajjar,aa_kash@gmail.com,8512637456,xyz,abc,abc,Ahmedabad,Gujarat,380009,India
Twinkle,patel,ty@gmail.com,8521364157,test,test,test,SURAT,Gujarat,741285,India
test,test1,test@gmail.com,9658214731,ty,ty,ty,Baroda,Gujarat,365214,India
test1,test1,t.test@yahoo.com,7412563242,abc,abca,abca,Pune,Maharastra,741251,India
